skill_id,name,root_kind,closure_skill_ids,effect_types,special_types,condition_types,controller_kinds,blockers,buff_trigger_events,missing_rows,nonzero_special_value5_7,nonzero_skill_use_value4
39674,연속 벼락: 파도,heir,[39674],"{""BuffEffect"": 1, ""DamageEffect"": 7, ""InteractionEffect"": 2, ""ResetAoeDiminishingEffect"": 1, ""SpecialEffect"": 9}","{""Anim"": 2, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 6, ""CombatDiceResult"": 1}",{},[],{},[],[],[]
41222,불의 장벽: 파도,heir,[41222],"{""BuffEffect"": 2, ""DamageEffect"": 1, ""SpecialEffect"": 9}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 1, ""StopManaRegen"": 1}","{""CombatDiceResult"": 1}",{},[],{},[],[],[]
41223,불의 장벽: 안개,heir,"[41223, 41478]","{""AggroEffect"": 1, ""BuffEffect"": 2, ""DamageEffect"": 1, ""InteractionEffect"": 1, ""SpecialEffect"": 1}","{""SkillUse"": 1}",{},{},[],"{""Started"": 1, ""Timeout"": 1}",[],[],"[{""chance"": 0, ""child_skill_id"": 41478, ""delay"": 0, ""id"": 42478, ""state"": ""preserved_not_consumed_by_supplied_r575_binaries"", ""value4"": 1}]"
43068,마법진: 지진,heir,[43068],"{""AggroEffect"": 1, ""BuffEffect"": 2, ""CombatResourceEffect"": 1, ""SpecialEffect"": 11}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""SpawnDoodad"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 1}",{},[],"{""Started"": 1}",[],[],[]
43185,,heir,[43185],"{""AggroEffect"": 1, ""BuffEffect"": 3, ""CombatResourceEffect"": 1, ""SpecialEffect"": 10}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""SpawnDoodad"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 1}",{},[],"{""Started"": 1}",[],[],[]
12789,마법_(로그인스테이지)_불꽃송이,login_stage,[12789],"{""DamageEffect"": 1}",{},{},{},[],{},[],[],[]
12790,마법_(로그인스테이지)_얼음화살,login_stage,[12790],"{""DamageEffect"": 1}",{},{},{},[],{},[],[],[]
12791,마법_(로그인스테이지)_분노의벼락,login_stage,[12791],"{""DamageEffect"": 1}",{},{},{},[],{},[],[],[]
42012,마법진 이동,contextual,[42012],"{""DispelEffect"": 1, ""SpecialEffect"": 1}","{""ReturnToSavedPosition"": 1}",{},{},[],{},[],[],[]
43464,마법진: 불꽃 이동,contextual,[43464],"{""DispelEffect"": 1, ""SpecialEffect"": 1}","{""ReturnToSavedPosition"": 1}",{},{},[],{},[],[],[]
43465,마법진: 지진 이동,contextual,[43465],"{""DispelEffect"": 1, ""SpecialEffect"": 1}","{""ReturnToSavedPosition"": 1}",{},{},[],{},[],[],[]
