skill_id,name,visible,source,static_status,executable_state,manual_acceptance,closure_skill_ids,actual_effect_types,special_effect_types,blockers,crosswalk_classifications,crosswalk_missing_rows
23648,<ref:91015>,False,aa8_native_catalog,enabled,blocked,pending,"[23648, 23649]","{""BuffEffect"": 3, ""DamageEffect"": 4, ""SpecialEffect"": 1}","{""Combo"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""special:Combo:no_op""]","{""exact_id_exact_relation"": 29, ""stable_id_changed_properties"": 14}",0
23649,<ref:91015>,False,aa8_native_catalog,enabled,blocked,pending,[23649],"{""BuffEffect"": 2, ""DamageEffect"": 3}",{},"[""core:DamageEffect:partial_legacy_formula""]","{""exact_id_exact_relation"": 23, ""stable_id_changed_properties"": 9}",0
24894,<ref:75865>,False,aa8_native_catalog,enabled,blocked,pending,"[24894, 24895]","{""BuffEffect"": 6, ""CombatResourceEffect"": 2, ""DamageEffect"": 13, ""SpecialEffect"": 36}","{""Anim"": 6, ""AutoAttack"": 2, ""CancelOngoingBuff"": 2, ""CancelStealth"": 2, ""CombatText"": 1, ""Combo"": 1, ""Cooldown"": 4, ""FxGroupAnim"": 6, ""GlobalCooldown"": 4, ""ManaCost"": 2, ""ProjectileAnim"": 6}","[""core:CombatResourceEffect:no_op"", ""core:DamageEffect:partial_legacy_formula"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:Combo:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 216, ""stable_id_changed_properties"": 56}",0
24895,<ref:75865>,False,aa8_native_catalog,enabled,blocked,pending,[24895],"{""BuffEffect"": 6, ""CombatResourceEffect"": 1, ""DamageEffect"": 8, ""SpecialEffect"": 18}","{""Anim"": 3, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 1, ""Cooldown"": 2, ""FxGroupAnim"": 3, ""GlobalCooldown"": 2, ""ManaCost"": 1, ""ProjectileAnim"": 3}","[""core:CombatResourceEffect:no_op"", ""core:DamageEffect:partial_legacy_formula"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 140, ""stable_id_changed_properties"": 34}",0
36474,불꽃 송이: 불꽃,False,aa8_native_catalog,enabled,blocked,pending,[36474],"{""BuffEffect"": 2, ""DamageEffect"": 3}",{},"[""core:DamageEffect:partial_legacy_formula""]","{""exact_id_exact_relation"": 21, ""stable_id_changed_properties"": 11}",0
36475,불꽃 송이: 번개,False,aa8_native_catalog,enabled,blocked,pending,[36475],"{""BuffEffect"": 6, ""DamageEffect"": 9, ""SpecialEffect"": 21}","{""Anim"": 6, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 2, ""FxGroupAnim"": 3, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 3, ""StopManaRegen"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 153, ""stable_id_changed_properties"": 31}",0
36476,연쇄 번개: 불꽃,False,aa8_native_catalog,enabled,blocked,pending,[36476],"{""AggroEffect"": 1, ""BuffEffect"": 3, ""DamageEffect"": 6, ""SpecialEffect"": 20}","{""Anim"": 2, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 4, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 4, ""ProjectileAnim"": 1, ""StopManaRegen"": 1}","[""core:AggroEffect:partial_legacy_formula"", ""core:DamageEffect:partial_legacy_formula"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 121, ""stable_id_changed_properties"": 19}",0
36477,연쇄 번개: 파도,False,aa8_native_catalog,quarantined,blocked,pending,[36477],"{""BuffEffect"": 2, ""DamageEffect"": 3, ""ResetAoeDiminishingEffect"": 1, ""SpecialEffect"": 14}","{""Anim"": 2, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroup"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""ProjectileAnim"": 1, ""StopManaRegen"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""core:ResetAoeDiminishingEffect:no_op"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 83, ""stable_id_changed_properties"": 18}",0
36478,별똥별: 파도,False,aa8_native_catalog,quarantined,blocked,pending,[36478],"{""BuffEffect"": 1, ""DamageEffect"": 3, ""ResetAoeDiminishingEffect"": 2, ""SpecialEffect"": 19}","{""Anim"": 4, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""DisturbCasting"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""SkillUse"": 1, ""SpawnDoodad"": 1, ""StopManaRegen"": 2}","[""core:DamageEffect:partial_legacy_formula"", ""core:ResetAoeDiminishingEffect:no_op"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:DisturbCasting:partial"", ""special:ManaCost:partial_legacy_formula"", ""special:SkillUse:partial"", ""special:SpawnDoodad:partial""]","{""exact_id_exact_relation"": 89, ""stable_id_changed_properties"": 25}",0
36479,별똥별: 번개,False,aa8_native_catalog,enabled,blocked,pending,[36479],"{""BuffEffect"": 3, ""DamageEffect"": 5, ""SpecialEffect"": 14}","{""Anim"": 2, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 1, ""SpawnDoodad"": 2, ""StopManaRegen"": 2}","[""core:DamageEffect:partial_legacy_formula"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula"", ""special:SpawnDoodad:partial""]","{""exact_id_exact_relation"": 71, ""stable_id_changed_properties"": 21}",0
37837,<ref:87379>,False,aa8_native_catalog,enabled,blocked,pending,[37837],"{""BuffEffect"": 1, ""CombatResourceEffect"": 1}",{},"[""core:CombatResourceEffect:no_op""]","{""conflict"": 1, ""exact_id_exact_relation"": 15, ""stable_id_changed_properties"": 3}",0
39669,연속 벼락: 번개,False,aa8_native_catalog,enabled,blocked,pending,"[39669, 39670, 39671, 39672, 39673]","{""BuffEffect"": 6, ""DamageEffect"": 7, ""SpecialEffect"": 4}","{""Combo"": 4}","[""core:DamageEffect:partial_legacy_formula"", ""special:Combo:no_op""]","{""exact_id_exact_relation"": 48, ""stable_id_changed_properties"": 29}",0
39670,<ref:107581>,False,aa8_native_catalog,enabled,blocked,pending,"[39670, 39671, 39672, 39673]","{""BuffEffect"": 5, ""DamageEffect"": 6, ""SpecialEffect"": 3}","{""Combo"": 3}","[""core:DamageEffect:partial_legacy_formula"", ""special:Combo:no_op""]","{""exact_id_exact_relation"": 41, ""stable_id_changed_properties"": 24}",0
39671,<ref:107581>,False,aa8_native_catalog,enabled,blocked,pending,"[39671, 39672, 39673]","{""BuffEffect"": 4, ""DamageEffect"": 5, ""SpecialEffect"": 2}","{""Combo"": 2}","[""core:DamageEffect:partial_legacy_formula"", ""special:Combo:no_op""]","{""exact_id_exact_relation"": 35, ""stable_id_changed_properties"": 19}",0
39672,<ref:107581>,False,aa8_native_catalog,enabled,blocked,pending,"[39672, 39673]","{""BuffEffect"": 3, ""DamageEffect"": 4, ""SpecialEffect"": 1}","{""Combo"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""special:Combo:no_op""]","{""exact_id_exact_relation"": 29, ""stable_id_changed_properties"": 14}",0
39673,<ref:107581>,False,aa8_native_catalog,enabled,blocked,pending,[39673],"{""BuffEffect"": 2, ""DamageEffect"": 3}",{},"[""core:DamageEffect:partial_legacy_formula""]","{""exact_id_exact_relation"": 23, ""stable_id_changed_properties"": 9}",0
39674,연속 벼락: 파도,False,aa8_native_catalog,quarantined,blocked,pending,[39674],"{""BuffEffect"": 4, ""DamageEffect"": 8, ""DispelEffect"": 1, ""InteractionEffect"": 2, ""PhysicalExplosionEffect"": 1, ""ResetAoeDiminishingEffect"": 1, ""SkillController"": 2, ""SpecialEffect"": 11}","{""Anim"": 2, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""StopManaRegen"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""core:InteractionEffect:partial"", ""core:PhysicalExplosionEffect:partial"", ""core:ResetAoeDiminishingEffect:no_op"", ""core:SkillController:partial"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 144, ""stable_id_changed_properties"": 34}",0
41222,불의 장벽: 파도,False,aa8_native_catalog,enabled,blocked,pending,[41222],"{""BuffEffect"": 2, ""DamageEffect"": 1, ""InteractionEffect"": 1, ""SpecialEffect"": 11}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 3, ""StopManaRegen"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""core:InteractionEffect:partial"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula""]","{""exact_id_exact_relation"": 80, ""stable_id_changed_properties"": 19}",0
41223,불의 장벽: 안개,False,aa8_native_catalog,enabled,blocked,pending,[41223],"{""AggroEffect"": 1, ""BuffEffect"": 1, ""SpecialEffect"": 1}","{""SkillUse"": 1}","[""core:AggroEffect:partial_legacy_formula"", ""special:SkillUse:partial""]","{""exact_id_exact_relation"": 10, ""stable_id_changed_properties"": 5}",0
41478,<ref:109303>,False,aa8_native_catalog,enabled,blocked,pending,[41478],"{""BuffEffect"": 1, ""DamageEffect"": 1, ""InteractionEffect"": 2, ""SpecialEffect"": 1}","{""Projectile"": 1}","[""core:DamageEffect:partial_legacy_formula"", ""core:InteractionEffect:partial""]","{""exact_id_exact_relation"": 33, ""stable_id_changed_properties"": 15}",0
42012,마법진 이동,False,aa8_native_catalog,enabled,candidate_manual_gate,pending,[42012],"{""DispelEffect"": 1, ""SpecialEffect"": 1}","{""ReturnToSavedPosition"": 1}",[],"{""exact_id_exact_relation"": 5, ""stable_id_changed_properties"": 3}",0
43068,마법진: 지진,False,aa8_native_catalog,enabled,blocked,pending,[43068],"{""AggroEffect"": 1, ""BuffEffect"": 2, ""CombatResourceEffect"": 1, ""SpecialEffect"": 11}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""SpawnDoodad"": 2, ""StopManaRegen"": 1}","[""core:AggroEffect:partial_legacy_formula"", ""core:CombatResourceEffect:no_op"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula"", ""special:SpawnDoodad:partial""]","{""exact_id_exact_relation"": 46, ""renumbered_row_stable_relation"": 1, ""stable_id_changed_properties"": 14}",0
43185,<ref:50174>,False,aa8_native_catalog,enabled,blocked,pending,[43185],"{""AggroEffect"": 1, ""BuffEffect"": 3, ""CombatResourceEffect"": 1, ""SpecialEffect"": 10}","{""Anim"": 1, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""SpawnDoodad"": 1, ""StopManaRegen"": 1}","[""core:AggroEffect:partial_legacy_formula"", ""core:CombatResourceEffect:no_op"", ""special:AutoAttack:no_op"", ""special:CancelOngoingBuff:no_op"", ""special:ManaCost:partial_legacy_formula"", ""special:SpawnDoodad:partial""]","{""exact_id_exact_relation"": 47, ""renumbered_row_stable_relation"": 1, ""stable_id_changed_properties"": 14}",0
43464,마법진: 불꽃 이동,False,aa8_native_catalog,enabled,candidate_manual_gate,pending,[43464],"{""DispelEffect"": 1, ""SpecialEffect"": 1}","{""ReturnToSavedPosition"": 1}",[],"{""conflict"": 1, ""exact_id_exact_relation"": 5, ""stable_id_changed_properties"": 2}",0
43465,마법진: 지진 이동,False,aa8_native_catalog,enabled,candidate_manual_gate,pending,[43465],"{""DispelEffect"": 1, ""SpecialEffect"": 1}","{""ReturnToSavedPosition"": 1}",[],"{""conflict"": 1, ""exact_id_exact_relation"": 5, ""stable_id_changed_properties"": 2}",0
