skill_id,name,root_kind,closure_skill_ids,effect_types,special_types,condition_types,controller_kinds,blockers,buff_trigger_events,missing_rows,nonzero_special_value5_7,nonzero_skill_use_value4
16210,충격 사격,base,[16210],"{""AggroEffect"": 1, ""BuffEffect"": 10, ""DamageEffect"": 5, ""SpecialEffect"": 22}","{""Anim"": 4, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 3, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 1, ""ProjectileAnim"": 1, ""SetVariable"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 5, ""CombatDiceResult"": 1, ""Variable"": 1, ""WeaponEquipStatus"": 2}",{},[],"{""Started"": 1}",[],[],[]
23592,,base,[23592],"{""BuffEffect"": 5, ""DamageEffect"": 6, ""SpecialEffect"": 25}","{""Anim"": 6, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 2, ""Cooldown"": 1, ""FxGroup"": 6, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 1, ""SetVariable"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 6, ""CombatDiceResult"": 4, ""Dead"": 2, ""Range"": 2, ""Variable"": 1, ""WeaponEquipStatus"": 2}",{},[],{},[],[],[]
36468,충격 사격: 불꽃,heir,[36468],"{""AggroEffect"": 1, ""BuffEffect"": 10, ""DamageEffect"": 7, ""SpecialEffect"": 25}","{""Anim"": 4, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 3, ""Cooldown"": 1, ""FxGroup"": 6, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""SetVariable"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 8, ""CombatDiceResult"": 1, ""Range"": 2, ""Variable"": 1, ""WeaponEquipStatus"": 2}",{},[],"{""Started"": 1}",[],[],[]
36469,충격 사격: 돌풍,heir,[36469],"{""AggroEffect"": 1, ""BuffEffect"": 10, ""DamageEffect"": 5, ""SpecialEffect"": 22}","{""Anim"": 4, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 3, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 1, ""ProjectileAnim"": 1, ""SetVariable"": 1, ""StopManaRegen"": 1}","{""BuffTag"": 5, ""CombatDiceResult"": 1, ""Variable"": 1, ""WeaponEquipStatus"": 2}",{},[],"{""Started"": 1}",[],[],[]
36470,폭탄 사격: 불꽃,heir,[36470],"{""AggroEffect"": 1, ""BuffEffect"": 4, ""DamageEffect"": 15, ""SpecialEffect"": 88}","{""Anim"": 26, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatDice"": 10, ""Cooldown"": 1, ""FxGroup"": 20, ""FxGroupAnim"": 4, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 12, ""RemoveDoodad"": 4, ""SetVariable"": 5, ""StopManaRegen"": 1}","{""BuffTag"": 11, ""CastingUseable"": 10, ""CombatDiceResult"": 1, ""Dead"": 2, ""Variable"": 1, ""Visible"": 2, ""WeaponEquipStatus"": 8}",{},[],"{""Landing"": 1, ""Started"": 1}",[],[],[]
36471,폭탄 사격: 안개,heir,[36471],"{""AggroEffect"": 1, ""BubbleEffect"": 1, ""BuffEffect"": 4, ""DamageEffect"": 18, ""SkillController"": 2, ""SpecialEffect"": 48}","{""Anim"": 4, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatDice"": 12, ""CombatText"": 15, ""Cooldown"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 3, ""RemoveDoodad"": 4, ""SetVariable"": 3, ""StopManaRegen"": 1}","{""BuffTag"": 26, ""CombatDiceResult"": 1, ""Variable"": 1, ""WeaponEquipStatus"": 1}","{""2"": 3}",[],"{""Landing"": 1, ""Started"": 1}",[],[],[]
36472,다발 사격: 불꽃,heir,[36472],"{""BuffEffect"": 3, ""DamageEffect"": 3, ""SpecialEffect"": 15}","{""Anim"": 6, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 1, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 12, ""Range"": 2, ""WeaponEquipStatus"": 2}",{},[],{},[],[],[]
36473,다발 사격: 안개,heir,[36473],"{""BuffEffect"": 3, ""DamageEffect"": 3, ""SpecialEffect"": 20}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Cooldown"": 1, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""KnockBack"": 1, ""ManaCost"": 1, ""Projectile"": 4, ""SetVariable"": 3, ""StopManaRegen"": 1}","{""BuffTag"": 7, ""CombatDiceResult"": 1, ""Range"": 1, ""Variable"": 3, ""WeaponEquipStatus"": 4}",{},[],{},[],[],[]
39663,연속 쏘기: 불꽃,heir,"[39663, 39664, 39665]","{""BuffEffect"": 4, ""DamageEffect"": 9, ""SpecialEffect"": 20}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 3, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 3, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
39666,연속 쏘기: 바위,heir,"[39666, 39667, 39668]","{""BuffEffect"": 4, ""DamageEffect"": 9, ""SpecialEffect"": 22}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 3, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 5, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
41219,저격: 번개,heir,[41219],"{""BuffEffect"": 5, ""DamageEffect"": 36, ""SpecialEffect"": 87}","{""Anim"": 26, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 2, ""Cooldown"": 1, ""FxGroup"": 36, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 1, ""SetVariable"": 13, ""StopManaRegen"": 1}","{""BuffTag"": 17, ""CastingUseable"": 12, ""CombatDiceResult"": 14, ""Dead"": 14, ""Range"": 2, ""Variable"": 37, ""Visible"": 2, ""WeaponEquipStatus"": 2}",{},[],{},[],[],[]
41221,저격: 불꽃,heir,[41221],"{""BuffEffect"": 4, ""DamageEffect"": 21, ""SpecialEffect"": 49}","{""Anim"": 6, ""AutoAttack"": 1, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""CombatText"": 2, ""Cooldown"": 1, ""FxGroup"": 21, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""ProjectileAnim"": 2, ""SetVariable"": 7, ""StopManaRegen"": 1}","{""BuffTag"": 14, ""CombatDiceResult"": 3, ""Dead"": 2, ""Range"": 2, ""UnitReqs"": 1, ""Variable"": 9, ""WeaponEquipStatus"": 8}",{},[],{},[],[],[]
42849,매의 발톱: 불꽃,heir,[42849],"{""BuffEffect"": 1}",{},{},{},[],{},[],[],[]
42851,매의 발톱: 생명,heir,[42851],"{""BuffEffect"": 1}",{},{},"{""2"": 1}",[],{},[],[],[]
12792,야성_(로그인스테이지)_매의발톱,login_stage,[12792],"{""BuffEffect"": 1}",{},{},{},[],{},[],[],[]
12793,야성_(로그인스테이지)_충격 화살,login_stage,[12793],"{""DamageEffect"": 1}",{},{},{},[],{},[],[],[]
12794,야성_(로그인스테이지)_폭탄화살,login_stage,[12794],"{""DamageEffect"": 1}",{},{},{},[],{},[],[],[]
14836,,contextual,"[14836, 14837]","{""BuffEffect"": 3, ""DamageEffect"": 7, ""SpecialEffect"": 19}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 2, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 3, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
14837,,contextual,"[14836, 14837]","{""BuffEffect"": 3, ""DamageEffect"": 7, ""SpecialEffect"": 19}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 2, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 3, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
38893,,contextual,[38893],"{""BuffEffect"": 8, ""DamageEffect"": 9, ""SpecialEffect"": 23}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""ChargeCooldown"": 1, ""Cooldown"": 1, ""FxGroup"": 6, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 7, ""CombatDiceResult"": 1, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
39664,,contextual,"[39664, 39665]","{""BuffEffect"": 3, ""DamageEffect"": 7, ""SpecialEffect"": 19}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 2, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 3, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
39665,,contextual,"[39664, 39665]","{""BuffEffect"": 3, ""DamageEffect"": 7, ""SpecialEffect"": 19}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 2, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 3, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
39667,,contextual,"[39667, 39668]","{""BuffEffect"": 3, ""DamageEffect"": 7, ""SpecialEffect"": 21}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 2, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 5, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
39668,,contextual,"[39667, 39668]","{""BuffEffect"": 3, ""DamageEffect"": 7, ""SpecialEffect"": 21}","{""Anim"": 4, ""CancelOngoingBuff"": 1, ""CancelStealth"": 1, ""Combo"": 2, ""Cooldown"": 1, ""FxGroup"": 3, ""FxGroupAnim"": 2, ""GlobalCooldown"": 1, ""ManaCost"": 1, ""Projectile"": 2, ""ProjectileAnim"": 2, ""StopManaRegen"": 1}","{""BuffTag"": 5, ""WeaponEquipStatus"": 1}",{},[],{},[],[],[]
40580,,contextual,[40580],"{""AggroEffect"": 1, ""BuffEffect"": 1}",{},{},{},[],"{""Started"": 1}",[],[],[]
